fy,fund,agency,source,interfund_trans,from_fund,source_name,receipts,data_source,fund_name,agency_name,fund_cat,fund_cat_name.x,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,source_name_AWM,rev_type,rev_type_name,amnesty,local,type_assigned
2010,888,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,1657.5,rev IOC 13.08.02,NA,NA,NA,NA,888,888,0,NA,1,DESIGN PROFESSIONAL ADMIN & IN,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2010,905,422,1228,0,9999,REIM/JURY DUTY & RECOVERIES,129.62,rev IOC 13.08.02,NA,NA,NA,NA,905,905,0,NA,1,IL FORESTRY DEVELOPMENT,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2010,913,420,1228,0,9999,REIM/JURY DUTY & RECOVERIES,58.4,rev IOC 13.08.02,NA,NA,NA,NA,0913-B,913,2,NA,1,FEDERAL WORKFORCE TRAINING,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2010,929,340,1228,0,9999,REIM/JURY DUTY & RECOVERIES,17.2,rev IOC 13.08.02,NA,NA,NA,NA,929,929,0,NA,1,VIOLENT CRIME VICTIMS ASSIST,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2010,944,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,31.88,rev IOC 13.08.02,NA,NA,NA,NA,944,944,0,NA,1,ENVIRO PROTECT PERMIT & INSP,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2010,962,422,1228,0,9999,REIM/JURY DUTY & RECOVERIES,45.19,rev IOC 13.08.02,NA,NA,NA,NA,962,962,0,NA,1,PARK & CONSERVATION,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2010,963,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,121.3,rev IOC 13.08.02,NA,NA,NA,NA,963,963,0,NA,1,VEHICLE INSPECTION,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2010,973,420,1228,0,9999,REIM/JURY DUTY & RECOVERIES,15,rev IOC 13.08.02,NA,NA,NA,NA,973,973,0,NA,1,IL CAPITAL REVOLVING LOAN,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVER€ÿIES,78,.,NA,NA,NA
2010,980,497,1228,0,9999,REIM/JURY DUTY & RECOVERIES,689.7,rev IOC 13.08.02,NA,NA,NA,NA,980,980,0,NA,1,MANTENO VETERANS HOME,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2010,982,422,1228,0,9999,REIM/JURY DUTY & RECOVERIES,4667.85,rev IOC 13.08.02,NA,NA,NA,NA,982,982,0,NA,1,ADELINE JAY GEO-KARIS IL BEACH,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2010,988,340,1228,0,9999,REIM/JURY DUTY & RECOVERIES,17.2,rev IOC 13.08.02,NA,NA,NA,NA,988,988,0,NA,1,ATTORNEY GENERAL FEDERAL GRANT,G,Federal Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2010,991,422,1228,0,9999,REIM/JURY DUTY & RECOVERIES,40,rev IOC 13.08.02,NA,NA,NA,NA,991,991,0,NA,1,ABANDONED MINED LANDS RECLAM,G,Federal Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,115,1228,0,9999,REIM/JURY DUTY & RECOVERIES,263.2,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,285,1228,0,9999,REIM/JURY DUTY & RECOVERIES,245.17,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,340,1228,0,9999,REIM/JURY DUTY & RECOVERIES,1511.35,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,350,1228,0,9999,REIM/JURY DUTY & RECOVERIES,5022.75,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,370,1228,0,9999,REIM/JURY DUTY & RECOVERIES,91.68,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,418,1228,0,9999,REIM/JURY DUTY & RECOVERIES,5173.34,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,422,1228,0,9999,REIM/JURY DUTY & RECOVERIES,842.2,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,426,1228,0,9999,REIM/JURY DUTY & RECOVERIES,898.62,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,442,1228,0,9999,REIM/JURY DUTY & RECOVERIES,775.38,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,444,1228,0,9999,REIM/JURY DUTY & RECOVERIES,9003.41,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,509,1228,0,9999,REIM/JURY DUTY & RECOVERIES,80.8,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,517,1228,0,9999,REIM/JURY DUTY & RECOVERIES,20.2,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,40,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,537,1228,0,9999,REIM/JURY DUTY & RECOVERIES,216,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,541,1228,0,9999,REIM/JURY DUTY & RECOVERIES,104.49,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,542,1228,0,9999,REIM/JURY DUTY & RECOVERIES,350.36,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,546,1228,0,9999,REIM/JURY DUTY & RECOVERIES,142,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,548,1228,0,9999,REIM/JURY DUTY & RECOVERIES,33,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,580,1228,0,9999,REIM/JURY DUTY & RECOVERIES,338.67,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,1,586,1228,0,9999,REIM/JURY DUTY & RECOVERIES,563.24,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,11,350,1228,0,9999,REIM/JURY DUTY & RECOVERIES,610.08,rev IOC 13.08.02,NA,NA,NA,NA,11,11,0,NA,1,ROAD,B,Highway Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,22,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,120009.12,rev IOC 13.08.02,NA,NA,NA,NA,22,22,0,NA,1,GENERAL PROFESSIONS DEDICATED,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,39,422,1228,0,9999,REIM/JURY DUTY & RECOVERIES,45,rev IOC 13.08.02,NA,NA,NA,NA,39,39,0,NA,1,STATE BOATING ACT,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,40,422,1228,0,9999,REIM/JURY DUTY & RECOVERIES,5816.72,rev IOC 13.08.02,NA,NA,NA,NA,40,40,0,NA,1,STATE PARKS,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,41,422,1228,0,9999,REIM/JURY DUTY & RECOVERIES,394.8,rev IOC 13.08.02,NA,NA,NA,NA,41,41,0,NA,1,WILDLIFE & FISH,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,47,592,1228,0,9999,REIM/JURY DUTY & RECOVERIES,992.92,rev IOC 13.08.02,NA,NA,NA,NA,47,47,0,NA,1,FIRE PREVENTION,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,52,427,1228,0,9999,REIM/JURY DUTY & RECOVERIES,3116.13,rev IOC 13.08.02,NA,NA,NA,NA,52,52,0,NA,1,FEDERAL TITLE III SS & EMPLOY,G,Federal Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,57,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,15764.92,rev IOC 13.08.02,NA,NA,NA,NA,57,57,0,NA,1,IL STATE PHARMACY DISCIPLINARY,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,65,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,113.91,rev IOC 13.08.02,NA,NA,NA,NA,65,65,0,NA,1,U S ENVIRONMENTAL PROTECTION,G,Federal Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,67,588,1228,0,9999,REIM/JURY DUTY & RECOVERIES,56,rev IOC 13.08.02,NA,NA,NA,NA,67,67,0,NA,1,RADIATION PROTECTION,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,72,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,115.6,rev IOC 13.08.02,NA,NA,NA,NA,72,72,0,NA,1,UNDERGROUND STORAGE TANK,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,72,592,1228,0,9999,REIM/JURY DUTY & RECOVERIES,16.8,rev IOC 13.08.02,NA,NA,NA,NA,72,72,0,NA,1,UNDERGROUND STORAGE TANK,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,78,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,175.2,rev IOC 13.08.02,NA,NA,NA,NA,78,78,0,NA,1,SOLID WASTE MANAGEMENT,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,81,444,1228,0,9999,REIM/JURY DUTY & RECOVERIES,1891.91,rev IOC 13.08.02,NA,NA,NA,NA,81,81,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,89,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,43.38,rev IOC 13.08.02,NA,NA,NA,NA,89,89,0,NA,1,SUBTITLE D MANAGEMENT,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,91,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,73.2,rev IOC 13.08.02,NA,NA,NA,NA,91,91,0,NA,1,CLEAN AIR ACT (CAA) PERMIT,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,93,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,34521.51,rev IOC 13.08.02,NA,NA,NA,NA,93,93,0,NA,1,IL STATE MEDICAL DISCIPLINARY,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,129,565,1228,0,9999,REIM/JURY DUTY & RECOVERIES,523.1,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,131,558,1228,0,9999,REIM/JURY DUTY & RECOVERIES,17.2,rev IOC 13.08.02,NA,NA,NA,NA,131,131,0,NA,1,COUNCIL ON DEV DISABILITIES,G,Federal Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,151,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,2719.56,rev IOC 13.08.02,NA,NA,NA,NA,151,151,0,NA,1,REG CPA ADMIN & DISCIPLINARY,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,195,370,1228,0,9999,REIM/JURY DUTY & RECOVERIES,30,rev IOC 13.08.02,NA,NA,NA,NA,195,195,0,NA,1,IPTIP ADMINISTRATIVE TR,I,State Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,218,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,8871.28,rev IOC 13.08.02,NA,NA,NA,NA,218,218,0,NA,1,PROFESSIONS INDIRECT COST,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,224,340,1228,0,9999,REIM/JURY DUTY & RECOVERIES,17.2,rev IOC 13.08.02,NA,NA,NA,NA,224,224,0,NA,1,ASBESTOS ABATEMENT,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,244,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,103,rev IOC 13.08.02,NA,NA,NA,NA,244,244,0,NA,1,SAVINGS & RESID FINANCE REG,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,258,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,79514.19,rev IOC 13.08.02,NA,NA,NA,NA,258,258,0,NA,1,NURSING DEDICATED & PROFESSNL,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,259,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,3299.3,rev IOC 13.08.02,NA,NA,NA,NA,259,259,0,NA,1,OPTOMETRIC LICN & DISC BRD,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,261,422,1228,0,9999,REIM/JURY DUTY & RECOVERIES,145,rev IOC 13.08.02,NA,NA,NA,NA,261,261,0,NA,1,UNDERGROUND RESOURCE CONSERV,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,270,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,75,rev IOC 13.08.02,NA,NA,NA,NA,270,270,0,NA,1,WATER REVOLVING,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,294,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,16.8,rev IOC 13.08.02,NA,NA,NA,NA,294,294,0,NA,1,USED TIRE MANAGEMENT,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,298,422,1228,0,9999,REIM/JURY DUTY & RECOVERIES,37.5,rev IOC 13.08.02,NA,NA,NA,NA,298,298,0,NA,1,NATURAL AREAS ACQUISITION,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,301,426,1228,0,9999,REIM/JURY DUTY & RECOVERIES,38.95,rev IOC 13.08.02,NA,NA,NA,NA,301,301,0,NA,1,WORKING CAPITAL REVOLVING,H,Revolving Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,333,466,1228,0,9999,REIM/JURY DUTY & RECOVERIES,140,rev IOC 13.08.02,NA,NA,NA,NA,333,333,0,NA,1,FEDERAL SUPPORT AGREEMENT REV,G,Federal Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,336,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,1638.09,rev IOC 13.08.02,NA,NA,NA,NA,336,336,0,NA,1,ENVIRONMENTAL LAB CERTIFICAT,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,386,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,4108.2,rev IOC 13.08.02,NA,NA,NA,NA,386,386,0,NA,1,APPRAISAL ADMINISTRATION,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,447,497,1228,0,9999,REIM/JURY DUTY & RECOVERIES,17.2,rev IOC 13.08.02,NA,NA,NA,NA,447,447,0,NA,1,GI EDUCATION,G,Federal Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,495,444,1228,0,9999,REIM/JURY DUTY & RECOVERIES,164.8,rev IOC 13.08.02,NA,NA,NA,NA,495,495,0,NA,1,OLD AGE SURVIVORS INSURANCE,G,Federal Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,529,555,1228,0,9999,REIM/JURY DUTY & RECOVERIES,17.2,rev IOC 13.08.02,NA,NA,NA,NA,529,529,0,NA,0,IL STATE BOARD OF INVESTMENTS,I,State Trust Funds,0,0,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,538,541,1228,0,9999,REIM/JURY DUTY & RECOVERIES,2.32,rev IOC 13.08.02,NA,NA,NA,NA,538,538,0,NA,1,IL HISTORIC SITES,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,542,340,1228,0,9999,REIM/JURY DUTY & RECOVERIES,687.56,rev IOC 13.08.02,NA,NA,NA,NA,542,542,0,NA,1,AG COURT ORDER & VOL COMPLY,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,549,340,1228,0,9999,REIM/JURY DUTY & RECOVERIES,155.92,rev IOC 13.08.02,NA,NA,NA,NA,549,549,0,NA,1,IL CHARITY BUREAU,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,600,340,1228,0,9999,REIM/JURY DUTY & RECOVERIES,2737.7,rev IOC 13.08.02,NA,NA,NA,NA,600,600,0,NA,1,ATTORNEY GENERAL WHISTLEBLOWER,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,614,370,1228,0,9999,REIM/JURY DUTY & RECOVERIES,21011.04,rev IOC 13.08.02,NA,NA,NA,NA,614,614,0,NA,1,CAPITAL LITIGATION,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,664,691,1228,0,9999,REIM/JURY DUTY & RECOVERIES,30190697.35,rev IOC 13.08.02,NA,NA,NA,NA,664,664,0,NA,1,STUDENT LOAN OPERATION,G,Federal Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,675,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,45,rev IOC 13.08.02,NA,NA,NA,NA,675,675,0,NA,1,ELECTRONICS RECYCLING,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,726,420,1228,0,9999,REIM/JURY DUTY & RECOVERIES,17.2,rev IOC 13.08.02,NA,NA,NA,NA,726,726,0,NA,1,FEDERAL INDUSTRIAL SERVICES,G,Federal Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,731,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,135,rev IOC 13.08.02,NA,NA,NA,NA,731,731,0,NA,1,IL CLEAN WATER FUND,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,733,340,1228,0,9999,REIM/JURY DUTY & RECOVERIES,800,rev IOC 13.08.02,NA,NA,NA,NA,733,733,0,NA,1,TOBACCO SETTLEMENT RECOVERY,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,746,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,566.42,rev IOC 13.08.02,NA,NA,NA,NA,746,746,0,NA,1,HOME INSPECTOR ADMINISTRATION,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,755,416,1228,0,9999,REIM/JURY DUTY & RECOVERIES,152,rev IOC 13.08.02,NA,NA,NA,NA,755,755,0,NA,0,STATE EMPLOYEES DEF COMP PLAN,I,State Trust Funds,0,0,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,763,420,1228,0,9999,REIM/JURY DUTY & RECOVERIES,15.4,rev IOC 13.08.02,NA,NA,NA,NA,763,763,0,NA,1,TOURISM PROMOTION,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,765,422,1228,0,9999,REIM/JURY DUTY & RECOVERIES,94.6,rev IOC 13.08.02,NA,NA,NA,NA,765,765,0,NA,1,FEDERAL SURFACE MINING CONTROL,G,Federal Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,776,541,1228,0,9999,REIM/JURY DUTY & RECOVERIES,41.78,rev IOC 13.08.02,NA,NA,NA,NA,776,776,0,NA,1,PRES LIBR & MUSEUM OPERATING,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,795,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,1589.8,rev IOC 13.08.02,NA,NA,NA,NA,795,795,0,NA,1,BANK & TRUST COMPANY,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,801,340,1228,0,9999,REIM/JURY DUTY & RECOVERIES,138.69,rev IOC 13.08.02,NA,NA,NA,NA,801,801,0,NA,1,AG STATE PROJ & CRT ORDER DIST,I,State Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,821,492,1228,0,9999,REIM/JURY DUTY & RECOVERIES,2890,rev IOC 13.08.02,NA,NA,NA,NA,821,821,0,NA,1,DRAM SHOP,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,823,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,12647.17,rev IOC 13.08.02,NA,NA,NA,NA,823,823,0,NA,1,IL STATE DENTAL DISCIPLINARY,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,828,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,218,rev IOC 13.08.02,NA,NA,NA,NA,828,828,0,NA,1,HAZARDOUS WASTE,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,850,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,28133.43,rev IOC 13.08.02,NA,NA,NA,NA,850,850,0,NA,1,REAL ESTATE LICENSE ADMIN,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,859,420,1228,0,9999,REIM/JURY DUTY & RECOVERIES,25,rev IOC 13.08.02,NA,NA,NA,NA,859,859,0,NA,1,FEDERAL ENERGY,G,Federal Trust Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,888,440,1228,0,9999,REIM/JURY DUTY & RECOVERIES,5831.33,rev IOC 13.08.02,NA,NA,NA,NA,888,888,0,NA,1,DESIGN PROFESSIONAL ADMIN & IN,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,913,420,1228,0,9999,REIM/JURY DUTY & RECOVERIES,17.2,rev IOC 13.08.02,NA,NA,NA,NA,0913-B,913,2,NA,1,FEDERAL WORKFORCE TRAINING,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,925,420,1228,0,9999,REIM/JURY DUTY & RECOVERIES,25,rev IOC 13.08.02,NA,NA,NA,NA,925,925,0,NA,1,COAL TECHNOLOGY DEV ASSIST,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,929,340,1228,0,9999,REIM/JURY DUTY & RECOVERIES,49.4,rev IOC 13.08.02,NA,NA,NA,NA,929,929,0,NA,1,VIOLENT CRIME VICTIMS ASSIST,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,944,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,229.92,rev IOC 13.08.02,NA,NA,NA,NA,944,944,0,NA,1,ENVIRO PROTECT PERMIT & INSP,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,962,422,1228,0,9999,REIM/JURY DUTY & RECOVERIES,77.3,rev IOC 13.08.02,NA,NA,NA,NA,962,962,0,NA,1,PARK & CONSERVATION,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,963,532,1228,0,9999,REIM/JURY DUTY & RECOVERIES,103.2,rev IOC 13.08.02,NA,NA,NA,NA,963,963,0,NA,1,VEHICLE INSPECTION,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2011,980,497,1228,0,9999,REIM/JURY DUTY & RECOVERIES,258,rev IOC 13.08.02,NA,NA,NA,NA,980,980,0,NA,1,MANTENO VETERANS HOME,D,Special State Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2012,1,110,1228,0,9999,REIM/JURY DUTY & RECOVERIES,32.6,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2012,1,115,1228,0,9999,REIM/JURY DUTY & RECOVERIES,52.5,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
2012,1,285,1228,0,9999,REIM/JURY DUTY & RECOVERIES,325,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,REIM/JURY DUTY & RECOVERIES,78,.,NA,NA,NA
