"","fy","fund","agency","source","interfund_trans","from_fund","source_name","receipts","data_source","fund_name","agency_name","fund_cat","fund_cat_name.x","fund_ab","fund_ioc","fund_re","a_end","in_ff","fund_name_ab","fund_category","fund_cat_name.y","in_ff_rev","in_ff_exp","source_name_AWM","rev_type","rev_type_name","amnesty","local","type_assigned","rev_type_name_COMPTROLLER","covid_dollars","employee_premiums","rev_type_new"
"15314",2004,"0991","422","0626",0,".","INTERIOR, DEPARTMENT OF",5773607.14,"rev IOC 13.08.02",NA,NA,NA,NA,"0991","0991","0",NA,"1","ABANDONED MINED LANDS RECLAM","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15315",2005,"0039","422","0626",0,".","INTERIOR, DEPARTMENT OF",434240,"rev IOC 13.08.02",NA,NA,NA,NA,"0039","0039","0",NA,"1","STATE BOATING ACT","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15316",2005,"0041","422","0626",0,".","INTERIOR, DEPARTMENT OF",7321917,"rev IOC 13.08.02",NA,NA,NA,NA,"0041","0041","0",NA,"1","WILDLIFE & FISH","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15317",2005,"0257","422","0626",0,".","INTERIOR, DEPARTMENT OF",827224,"rev IOC 13.08.02",NA,NA,NA,NA,"0257","0257","0",NA,"1","AML RECLAMATION SET ASIDE","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15318",2005,"0465","422","0626",0,".","INTERIOR, DEPARTMENT OF",3978124,"rev IOC 13.08.02",NA,NA,NA,NA,"0465","0465","0",NA,"1","LAND & WATER RECREATION","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15319",2005,"0765","422","0626",0,".","INTERIOR, DEPARTMENT OF",2111895.74,"rev IOC 13.08.02",NA,NA,NA,NA,"0765","0765","0",NA,"1","FEDERAL SURFACE MINING CONTROL","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15320",2005,"0894","422","0626",0,".","INTERIOR, DEPARTMENT OF",98865.73,"rev IOC 13.08.02",NA,NA,NA,NA,"0894","0894","0",NA,"1","DNR FEDERAL PROJECTS","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15321",2005,"0909","422","0626",0,".","INTERIOR, DEPARTMENT OF",32726.84,"rev IOC 13.08.02",NA,NA,NA,NA,"0909","0909","0",NA,"1","IL WILDLIFE PRESERVATION","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15322",2005,"0991","422","0626",0,".","INTERIOR, DEPARTMENT OF",7695079.2,"rev IOC 13.08.02",NA,NA,NA,NA,"0991","0991","0",NA,"1","ABANDONED MINED LANDS RECLAM","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15323",2006,"0039","422","0626",0,".","INTERIOR, DEPARTMENT OF",1431424,"rev IOC 13.08.02",NA,NA,NA,NA,"0039","0039","0",NA,"1","STATE BOATING ACT","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15324",2006,"0041","422","0626",0,".","INTERIOR, DEPARTMENT OF",6723655.2,"rev IOC 13.08.02",NA,NA,NA,NA,"0041","0041","0",NA,"1","WILDLIFE & FISH","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15325",2006,"0257","422","0626",0,".","INTERIOR, DEPARTMENT OF",808463,"rev IOC 13.08.02",NA,NA,NA,NA,"0257","0257","0",NA,"1","AML RECLAMATION SET ASIDE","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15326",2006,"0465","422","0626",0,".","INTERIOR, DEPARTMENT OF",3511384.25,"rev IOC 13.08.02",NA,NA,NA,NA,"0465","0465","0",NA,"1","LAND & WATER RECREATION","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15327",2006,"0765","422","0626",0,".","INTERIOR, DEPARTMENT OF",2433809.96,"rev IOC 13.08.02",NA,NA,NA,NA,"0765","0765","0",NA,"1","FEDERAL SURFACE MINING CONTROL","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15328",2006,"0894","422","0626",0,".","INTERIOR, DEPARTMENT OF",82496.92,"rev IOC 13.08.02",NA,NA,NA,NA,"0894","0894","0",NA,"1","DNR FEDERAL PROJECTS","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15329",2006,"0909","422","0626",0,".","INTERIOR, DEPARTMENT OF",66076.51,"rev IOC 13.08.02",NA,NA,NA,NA,"0909","0909","0",NA,"1","IL WILDLIFE PRESERVATION","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15330",2006,"0991","422","0626",0,".","INTERIOR, DEPARTMENT OF",7940707.8,"rev IOC 13.08.02",NA,NA,NA,NA,"0991","0991","0",NA,"1","ABANDONED MINED LANDS RECLAM","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15331",2007,"0039","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",1932843,"rev IOC 13.08.02",NA,NA,NA,NA,"0039","0039","0",NA,"1","STATE BOATING ACT","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15332",2007,"0041","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",8130578.4,"rev IOC 13.08.02",NA,NA,NA,NA,"0041","0041","0",NA,"1","WILDLIFE & FISH","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15333",2007,"0257","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",733389,"rev IOC 13.08.02",NA,NA,NA,NA,"0257","0257","0",NA,"1","AML RECLAMATION SET ASIDE","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15334",2007,"0298","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",21573.97,"rev IOC 13.08.02",NA,NA,NA,NA,"0298","0298","0",NA,"1","NATURAL AREAS ACQUISITION","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15335",2007,"0465","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",2320712.75,"rev IOC 13.08.02",NA,NA,NA,NA,"0465","0465","0",NA,"1","LAND & WATER RECREATION","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15336",2007,"0538","541","0626",0,"9999","INTERIOR, DEPARTMENT OF",356849.88,"rev IOC 13.08.02",NA,NA,NA,NA,"0538","0538","0",NA,"1","IL HISTORIC SITES","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15337",2007,"0765","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",2117596.67,"rev IOC 13.08.02",NA,NA,NA,NA,"0765","0765","0",NA,"1","FEDERAL SURFACE MINING CONTROL","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15338",2007,"0894","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",59903.3,"rev IOC 13.08.02",NA,NA,NA,NA,"0894","0894","0",NA,"1","DNR FEDERAL PROJECTS","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15339",2007,"0909","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",89015.73,"rev IOC 13.08.02",NA,NA,NA,NA,"0909","0909","0",NA,"1","IL WILDLIFE PRESERVATION","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15340",2007,"0991","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",7439183.69,"rev IOC 13.08.02",NA,NA,NA,NA,"0991","0991","0",NA,"1","ABANDONED MINED LANDS RECLAM","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15341",2008,"0039","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",942139,"rev IOC 13.08.02",NA,NA,NA,NA,"0039","0039","0",NA,"1","STATE BOATING ACT","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15342",2008,"0041","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",9602859,"rev IOC 13.08.02",NA,NA,NA,NA,"0041","0041","0",NA,"1","WILDLIFE & FISH","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15343",2008,"0465","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",1760397,"rev IOC 13.08.02",NA,NA,NA,NA,"0465","0465","0",NA,"1","LAND & WATER RECREATION","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15344",2008,"0538","541","0626",0,"9999","INTERIOR, DEPARTMENT OF",1098171.87,"rev IOC 13.08.02",NA,NA,NA,NA,"0538","0538","0",NA,"1","IL HISTORIC SITES","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15345",2008,"0765","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",2168875.93,"rev IOC 13.08.02",NA,NA,NA,NA,"0765","0765","0",NA,"1","FEDERAL SURFACE MINING CONTROL","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15346",2008,"0894","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",102643,"rev IOC 13.08.02",NA,NA,NA,NA,"0894","0894","0",NA,"1","DNR FEDERAL PROJECTS","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15347",2008,"0909","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",46062.2,"rev IOC 13.08.02",NA,NA,NA,NA,"0909","0909","0",NA,"1","IL WILDLIFE PRESERVATION","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15348",2008,"0991","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",9913416.8,"rev IOC 13.08.02",NA,NA,NA,NA,"0991","0991","0",NA,"1","ABANDONED MINED LANDS RECLAM","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15349",2009,"0039","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",324125,"rev IOC 13.08.02",NA,NA,NA,NA,"0039","0039","0",NA,"1","STATE BOATING ACT","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15350",2009,"0041","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",11007950.98,"rev IOC 13.08.02",NA,NA,NA,NA,"0041","0041","0",NA,"1","WILDLIFE & FISH","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15351",2009,"0465","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",2650000,"rev IOC 13.08.02",NA,NA,NA,NA,"0465","0465","0",NA,"1","LAND & WATER RECREATION","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15352",2009,"0538","541","0626",0,"9999","INTERIOR, DEPARTMENT OF",405465.14,"rev IOC 13.08.02",NA,NA,NA,NA,"0538","0538","0",NA,"1","IL HISTORIC SITES","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15353",2009,"0765","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",2370013.24,"rev IOC 13.08.02",NA,NA,NA,NA,"0765","0765","0",NA,"1","FEDERAL SURFACE MINING CONTROL","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15354",2009,"0894","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",42781.93,"rev IOC 13.08.02",NA,NA,NA,NA,"0894","0894","0",NA,"1","DNR FEDERAL PROJECTS","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15355",2009,"0909","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",404867,"rev IOC 13.08.02",NA,NA,NA,NA,"0909","0909","0",NA,"1","IL WILDLIFE PRESERVATION","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15356",2009,"0991","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",8721207.81,"rev IOC 13.08.02",NA,NA,NA,NA,"0991","0991","0",NA,"1","ABANDONED MINED LANDS RECLAM","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15357",2010,"0039","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",427043,"rev IOC 13.08.02",NA,NA,NA,NA,"0039","0039","0",NA,"1","STATE BOATING ACT","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15358",2010,"0041","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",16081918.03,"rev IOC 13.08.02",NA,NA,NA,NA,"0041","0041","0",NA,"1","WILDLIFE & FISH","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15359",2010,"0257","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",1e+06,"rev IOC 13.08.02",NA,NA,NA,NA,"0257","0257","0",NA,"1","AML RECLAMATION SET ASIDE","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15360",2010,"0465","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",476026,"rev IOC 13.08.02",NA,NA,NA,NA,"0465","0465","0",NA,"1","LAND & WATER RECREATION","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15361",2010,"0538","541","0626",0,"9999","INTERIOR, DEPARTMENT OF",1332220.41,"rev IOC 13.08.02",NA,NA,NA,NA,"0538","0538","0",NA,"1","IL HISTORIC SITES","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15362",2010,"0765","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",2617049.35,"rev IOC 13.08.02",NA,NA,NA,NA,"0765","0765","0",NA,"1","FEDERAL SURFACE MINING CONTROL","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15363",2010,"0894","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",167845.06,"rev IOC 13.08.02",NA,NA,NA,NA,"0894","0894","0",NA,"1","DNR FEDERAL PROJECTS","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15364",2010,"0909","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",390781,"rev IOC 13.08.02",NA,NA,NA,NA,"0909","0909","0",NA,"1","IL WILDLIFE PRESERVATION","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15365",2010,"0991","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",8034680.43,"rev IOC 13.08.02",NA,NA,NA,NA,"0991","0991","0",NA,"1","ABANDONED MINED LANDS RECLAM","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15366",2011,"0001","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",17210.13,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15367",2011,"0039","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",2467217.66,"rev IOC 13.08.02",NA,NA,NA,NA,"0039","0039","0",NA,"1","STATE BOATING ACT","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15368",2011,"0041","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",16751386.53,"rev IOC 13.08.02",NA,NA,NA,NA,"0041","0041","0",NA,"1","WILDLIFE & FISH","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15369",2011,"0257","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",3e+06,"rev IOC 13.08.02",NA,NA,NA,NA,"0257","0257","0",NA,"1","AML RECLAMATION SET ASIDE","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15370",2011,"0391","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",5857,"rev IOC 13.08.02",NA,NA,NA,NA,"0391","0391","0",NA,"1","IL HABITAT","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15371",2011,"0465","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",232000,"rev IOC 13.08.02",NA,NA,NA,NA,"0465","0465","0",NA,"1","LAND & WATER RECREATION","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15372",2011,"0538","541","0626",0,"9999","INTERIOR, DEPARTMENT OF",203040.34,"rev IOC 13.08.02",NA,NA,NA,NA,"0538","0538","0",NA,"1","IL HISTORIC SITES","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15373",2011,"0765","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",2617652.81,"rev IOC 13.08.02",NA,NA,NA,NA,"0765","0765","0",NA,"1","FEDERAL SURFACE MINING CONTROL","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15374",2011,"0894","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",4046742.89,"rev IOC 13.08.02",NA,NA,NA,NA,"0894","0894","0",NA,"1","DNR FEDERAL PROJECTS","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15375",2011,"0909","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",106480,"rev IOC 13.08.02",NA,NA,NA,NA,"0909","0909","0",NA,"1","IL WILDLIFE PRESERVATION","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15376",2011,"0991","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",9837112.05,"rev IOC 13.08.02",NA,NA,NA,NA,"0991","0991","0",NA,"1","ABANDONED MINED LANDS RECLAM","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15377",2012,"0039","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",938284,"rev IOC 13.08.02",NA,NA,NA,NA,"0039","0039","0",NA,"1","STATE BOATING ACT","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15378",2012,"0041","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",17209045.57,"rev IOC 13.08.02",NA,NA,NA,NA,"0041","0041","0",NA,"1","WILDLIFE & FISH","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15379",2012,"0257","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",3800000,"rev IOC 13.08.02",NA,NA,NA,NA,"0257","0257","0",NA,"1","AML RECLAMATION SET ASIDE","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15380",2012,"0391","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",1038654,"rev IOC 13.08.02",NA,NA,NA,NA,"0391","0391","0",NA,"1","IL HABITAT","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15381",2012,"0465","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",1125000,"rev IOC 13.08.02",NA,NA,NA,NA,"0465","0465","0",NA,"1","LAND & WATER RECREATION","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15382",2012,"0538","541","0626",0,"9999","INTERIOR, DEPARTMENT OF",1303939.39,"rev IOC 13.08.02",NA,NA,NA,NA,"0538","0538","0",NA,"1","IL HISTORIC SITES","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15383",2012,"0765","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",2791330.39,"rev IOC 13.08.02",NA,NA,NA,NA,"0765","0765","0",NA,"1","FEDERAL SURFACE MINING CONTROL","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15384",2012,"0894","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",5255353.94,"rev IOC 13.08.02",NA,NA,NA,NA,"0894","0894","0",NA,"1","DNR FEDERAL PROJECTS","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15385",2012,"0909","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",163334.13,"rev IOC 13.08.02",NA,NA,NA,NA,"0909","0909","0",NA,"1","IL WILDLIFE PRESERVATION","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15386",2012,"0991","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",11767119.97,"rev IOC 13.08.02",NA,NA,NA,NA,"0991","0991","0",NA,"1","ABANDONED MINED LANDS RECLAM","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15387",2013,"0039","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",532740,"rev IOC 13.08.02",NA,NA,NA,NA,"0039","0039","0",NA,"1","STATE BOATING ACT","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15388",2013,"0041","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",14631463.3,"rev IOC 13.08.02",NA,NA,NA,NA,"0041","0041","0",NA,"1","WILDLIFE & FISH","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15389",2013,"0257","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",5880983.1,"rev IOC 13.08.02",NA,NA,NA,NA,"0257","0257","0",NA,"1","AML RECLAMATION SET ASIDE","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15390",2013,"0391","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",13644,"rev IOC 13.08.02",NA,NA,NA,NA,"0391","0391","0",NA,"1","IL HABITAT","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15391",2013,"0465","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",750000,"rev IOC 13.08.02",NA,NA,NA,NA,"0465","0465","0",NA,"1","LAND & WATER RECREATION","I","State Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15392",2013,"0538","541","0626",0,"9999","INTERIOR, DEPARTMENT OF",1051132.67,"rev IOC 13.08.02",NA,NA,NA,NA,"0538","0538","0",NA,"1","IL HISTORIC SITES","D","Special State Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
"15393",2013,"0765","422","0626",0,"9999","INTERIOR, DEPARTMENT OF",2418969.99,"rev IOC 13.08.02",NA,NA,NA,NA,"0765","0765","0",NA,"1","FEDERAL SURFACE MINING CONTROL","G","Federal Trust Funds","1","1","INTERIOR, DEPARTMENT OF","57","Federal - Other",NA,NA,NA,"FEDERAL SOURCES",0,0,"57"
